Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-117.00, snr:-20.00, rssi:-98.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHY3W8IAC3jAMIVAQVxnXeM06cTGp4mM0ZaQFE9yttYSUSxCO7dLDNbP3zz02Rnog==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
Dinlenenler : rssis:-107.00, snr:-11.20, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAG2USIJAGmKAFLKrxv7R6H8dI8je7FfqUG+OB6DtU/BIp25CiRvzbQjuzg6RZjRng==
